NAME,2020Pop,2010Pop,Difference,PercentChange,DifferenceInt,PercentChangeReal
Census Tract 58,"5166.00","5137.00","29.00","0.60","29",0.600
Census Tract 60,"5806.00","5228.00","578.00","11.10","578",11.100
Census Tract 61,"2781.00","2741.00","40.00","1.50","40",1.500
Census Tract 59,"1208.00","1136.00","72.00","6.30","72",6.300
Census Tract 73,"1916.00","1964.00","-48.00","-2.40","-48",-2.400
Census Tract 88,"3157.00","3161.00","-4.00","-0.10","-4",-0.100
Census Tract 65.01,"2947.00","2518.00","429.00","17.00","429",17.000
Census Tract 65.02,"3512.00","3401.00","111.00","3.30","111",3.300
Census Tract 66,"2052.00","2255.00","-203.00","-9.00","-203",-9.000
Census Tract 68,"4046.00","3871.00","175.00","4.50","175",4.500
Census Tract 69,"2598.00","2822.00","-224.00","-7.90","-224",-7.900
Census Tract 70,"2499.00","2471.00","28.00","1.10","28",1.100
Census Tract 71,"3695.00","3569.00","126.00","3.50","126",3.500
Census Tract 72,"2124.00","2264.00","-140.00","-2.20","-140",-2.200
Census Tract 74,"1954.00","1598.00","356.00","22.30","356",22.300
Census Tract 81,"2791.00","2558.00","233.00","9.10","233",9.100
Census Tract 82.01,"4159.00","4019.00","140.00","3.50","140",3.500
Census Tract 82.02,"3349.00","3187.00","162.00","5.10","162",5.100
Census Tract 85.01,"3790.00","3578.00","212.00","5.90","212",5.900
Census Tract 86.01,"1951.00","2217.00","-266.00","-12.00","-266",-12.000
Census Tract 92,"4464.00","4003.00","461.00","11.50","461",11.500
Census Tract 93,"2412.00","2848.00","-436.00","-15.30","-436",-15.300
Census Tract 94,"1651.00","1634.00","17.00","1.00","17",1.000
Census Tract 95,"2569.00","2399.00","170.00","7.10","170",7.100
Census Tract 96,"4145.00","4456.00","-311.00","-7.00","-311",-7.000
Census Tract 97,"5168.00","5207.00","-39.00","-0.70","-39",-0.700
Census Tract 98,"2285.00","2013.00","272.00","13.50","272",13.500
Census Tract 100.02,"6030.00","5585.00","445.00","8.00","445",8.000
Census Tract 101,"4834.00","4590.00","244.00","5.30","244",5.300
Census Tract 106,"1391.00","1317.00","74.00","5.60","74",5.600
Census Tract 110,"2768.00","2597.00","171.00","6.60","171",6.600
Census Tract 111,"3454.00","3452.00","2.00","0.10","2",0.100
Census Tract 204.01,"5174.00","5026.00","148.00","2.90","148",2.900
Census Tract 204.04,"4807.00","4880.00","-73.00","-1.50","-73",-1.500
Census Tract 207.64,"4975.00","4563.00","412.00","9.00","412",9.000
Census Tract 208.02,"4978.00","5000.00","-22.00","-0.40","-22",-0.400
Census Tract 208.11,"5876.00","6220.00","-344.00","-5.50","-344",-5.500
Census Tract 209.01,"3623.00","3423.00","200.00","5.80","200",5.800
Census Tract 209.02,"5614.00","5498.00","116.00","2.10","116",2.100
Census Tract 213.02,"5672.00","5838.00","-166.00","-2.80","-166",-2.800
Census Tract 213.04,"5026.00","5171.00","-145.00","-2.80","-145",-2.800
Census Tract 214.01,"5242.00","5412.00","-170.00","-3.10","-170",-3.100
Census Tract 214.22,"2988.00","3007.00","-19.00","-0.60","-19",-0.600
Census Tract 247,"1768.00","1701.00","67.00","3.90","67",3.900
Census Tract 218.01,"6270.00","6147.00","123.00","2.00","123",2.000
Census Tract 221.02,"7029.00","6837.00","192.00","2.80","192",2.800
Census Tract 232.01,"2933.00","2966.00","-33.00","-1.10","-33",-1.100
Census Tract 250.01,"6253.00","6342.00","-89.00","-1.40","-89",-1.400
Census Tract 250.02,"7258.00","7333.00","-75.00","-1.00","-75",-1.000
Census Tract 254.01,"1535.00","1644.00","-109.00","-6.60","-109",-6.600
Census Tract 254.02,"2955.00","3012.00","-57.00","-1.90","-57",-1.900
Census Tract 255,"4087.00","4143.00","-56.00","-1.40","-56",-1.400
Census Tract 257,"2087.00","2178.00","-91.00","-4.20","-91",-4.200
Census Tract 258,"4070.00","4368.00","-298.00","-6.80","-298",-6.800
Census Tract 264,"2508.00","2519.00","-11.00","-0.40","-11",-0.400
Census Tract 269,"2366.00","2233.00","133.00","6.00","133",6.000
Census Tract 266,"1476.00","1518.00","-42.00","-2.80","-42",-2.800
Census Tract 267,"1645.00","1676.00","-31.00","-1.50","-31",-1.500
Census Tract 270,"2649.00","3518.00","-869.00","-24.70","-869",-24.700
Census Tract 268,"1578.00","1481.00","97.00","6.50","97",6.500
Census Tract 271,"4271.00","4218.00","53.00","1.30","53",1.300
